"node" "closeness" "n.closeness"
"1" 1 1.47392208185792e-26 7.30025795868214e-30
"2" 2 1.47392208185792e-26 7.30025795868214e-30
"3" 3 1.47392208185792e-26 7.30025795868214e-30
"4" 4 1.47392208185792e-26 7.30025795868214e-30
"5" 5 1.47392208185792e-26 7.30025795868214e-30
"6" 6 1.47392208185792e-26 7.30025795868214e-30
"7" 7 1.47392208185792e-26 7.30025795868214e-30
"8" 8 1.47392208185792e-26 7.30025795868214e-30
"9" 9 1.47392208185792e-26 7.30025795868214e-30
"10" 10 1.47392208185792e-26 7.30025795868214e-30
"11" 11 1.47392208185792e-26 7.30025795868214e-30
"12" 12 1.47392208185792e-26 7.30025795868214e-30
"13" 13 1.47392208185792e-26 7.30025795868214e-30
"14" 14 1.47392208185792e-26 7.30025795868214e-30
"15" 15 1.47392208185792e-26 7.30025795868214e-30
"16" 16 1.47392208185792e-26 7.30025795868214e-30
"17" 17 1.47392208185792e-26 7.30025795868214e-30
"18" 18 1.47392208185792e-26 7.30025795868214e-30
"19" 19 1.47392208185792e-26 7.30025795868214e-30
"20" 20 1.47392208185792e-26 7.30025795868214e-30
"21" 21 1.47392208185792e-26 7.30025795868214e-30
"22" 22 1.47392208185792e-26 7.30025795868214e-30
"23" 23 1.47392208185792e-26 7.30025795868214e-30
"24" 24 1.47392208185792e-26 7.30025795868214e-30
"25" 25 1.47392208185792e-26 7.30025795868214e-30
"26" 26 1.47392208185792e-26 7.30025795868214e-30
"27" 27 1.47392208185792e-26 7.30025795868214e-30
"28" 28 1.47392208185792e-26 7.30025795868214e-30
"29" 29 1.47392208185792e-26 7.30025795868214e-30
"30" 30 1.47392208185792e-26 7.30025795868214e-30
"31" 31 1.47392208185792e-26 7.30025795868214e-30
"32" 32 1.47392208185792e-26 7.30025795868214e-30
"33" 33 1.47392208185792e-26 7.30025795868214e-30
"34" 34 1.47392208185792e-26 7.30025795868214e-30
"35" 35 1.47392208185792e-26 7.30025795868214e-30
"36" 36 1.47392208185792e-26 7.30025795868214e-30
"37" 37 1.47392208185792e-26 7.30025795868214e-30
"38" 38 1.47392208185792e-26 7.30025795868214e-30
"39" 39 1.47392208185792e-26 7.30025795868214e-30
"40" 40 1.47392208185792e-26 7.30025795868214e-30
"41" 41 1.47392208185792e-26 7.30025795868214e-30
"42" 42 1.47392208185792e-26 7.30025795868214e-30
"43" 43 1.47392208185792e-26 7.30025795868214e-30
"44" 44 1.47392208185792e-26 7.30025795868214e-30
"45" 45 1.47392208185792e-26 7.30025795868214e-30
"46" 46 1.47392208185792e-26 7.30025795868214e-30
"47" 47 1.47392208185792e-26 7.30025795868214e-30
"48" 48 1.47392208185792e-26 7.30025795868214e-30
"49" 49 1.47392208185792e-26 7.30025795868214e-30
"50" 50 1.47392208185792e-26 7.30025795868214e-30
"51" 51 1.47392208185792e-26 7.30025795868214e-30
"52" 52 1.47392208185792e-26 7.30025795868214e-30
"53" 53 1.47392208185792e-26 7.30025795868214e-30
"54" 54 1.47392208185792e-26 7.30025795868214e-30
"55" 55 1.47392208185792e-26 7.30025795868214e-30
"56" 56 1.47392208185792e-26 7.30025795868214e-30
"57" 57 1.47392208185792e-26 7.30025795868214e-30
"58" 58 1.47392208185792e-26 7.30025795868214e-30
"59" 59 1.47392208185792e-26 7.30025795868214e-30
"60" 60 1.47392208185792e-26 7.30025795868214e-30
"61" 61 1.47392208185792e-26 7.30025795868214e-30
"62" 62 1.47392208185792e-26 7.30025795868214e-30
"63" 63 1.47392208185792e-26 7.30025795868214e-30
"64" 64 1.47392208185792e-26 7.30025795868214e-30
"65" 65 1.47392208185792e-26 7.30025795868214e-30
"66" 66 1.47392208185792e-26 7.30025795868214e-30
"67" 67 1.47392208185792e-26 7.30025795868214e-30
"68" 68 1.47392208185792e-26 7.30025795868214e-30
"69" 69 1.47392208185792e-26 7.30025795868214e-30
"70" 70 1.47392208185792e-26 7.30025795868214e-30
"71" 71 1.47392208185792e-26 7.30025795868214e-30
"72" 72 1.47392208185792e-26 7.30025795868214e-30
"73" 73 1.47392208185792e-26 7.30025795868214e-30
"74" 74 1.47392208185792e-26 7.30025795868214e-30
"75" 75 1.47392208185792e-26 7.30025795868214e-30
"76" 76 1.47392208185792e-26 7.30025795868214e-30
"77" 77 1.47392208185792e-26 7.30025795868214e-30
"78" 78 1.47392208185792e-26 7.30025795868214e-30
"79" 79 1.47392208185792e-26 7.30025795868214e-30
"80" 80 1.47392208185792e-26 7.30025795868214e-30
"81" 81 1.47392208185792e-26 7.30025795868214e-30
"82" 82 1.47392208185792e-26 7.30025795868214e-30
"83" 83 1.47392208185792e-26 7.30025795868214e-30
"84" 84 1.47392208185792e-26 7.30025795868214e-30
"85" 85 1.47392208185792e-26 7.30025795868214e-30
"86" 86 1.47392208185792e-26 7.30025795868214e-30
"87" 87 1.47392208185792e-26 7.30025795868214e-30
"88" 88 1.47392208185792e-26 7.30025795868214e-30
"89" 89 1.47392208185792e-26 7.30025795868214e-30
"90" 90 1.47392208185792e-26 7.30025795868214e-30
"91" 91 1.47392208185792e-26 7.30025795868214e-30
"92" 92 1.47392208185792e-26 7.30025795868214e-30
"93" 93 1.47392208185792e-26 7.30025795868214e-30
"94" 94 1.47392208185792e-26 7.30025795868214e-30
"95" 95 1.47392208185792e-26 7.30025795868214e-30
"96" 96 1.47392208185792e-26 7.30025795868214e-30
"97" 97 1.47392208185792e-26 7.30025795868214e-30
"98" 98 1.47392208185792e-26 7.30025795868214e-30
"99" 99 1.47392208185792e-26 7.30025795868214e-30
"100" 100 1.47392208185792e-26 7.30025795868214e-30
"101" 101 1.47392208185792e-26 7.30025795868214e-30
"102" 102 1.47392208185792e-26 7.30025795868214e-30
"103" 103 1.47392208185792e-26 7.30025795868214e-30
"104" 104 1.47392208185792e-26 7.30025795868214e-30
"105" 105 1.47392208185792e-26 7.30025795868214e-30
"106" 106 1.47392208185792e-26 7.30025795868214e-30
"107" 107 1.47392208185792e-26 7.30025795868214e-30
"108" 108 1.47392208185792e-26 7.30025795868214e-30
"109" 109 1.47392208185792e-26 7.30025795868214e-30
"110" 110 1.47392208185792e-26 7.30025795868214e-30
"111" 111 1.47392208185792e-26 7.30025795868214e-30
"112" 112 1.47392208185792e-26 7.30025795868214e-30
"113" 113 1.47392208185792e-26 7.30025795868214e-30
"114" 114 1.47392208185792e-26 7.30025795868214e-30
"115" 115 1.47392208185792e-26 7.30025795868214e-30
"116" 116 1.47392208185792e-26 7.30025795868214e-30
"117" 117 1.47392208185792e-26 7.30025795868214e-30
"118" 118 1.47392208185792e-26 7.30025795868214e-30
"119" 119 1.47392208185792e-26 7.30025795868214e-30
"120" 120 1.47392208185792e-26 7.30025795868214e-30
"121" 121 1.47392208185792e-26 7.30025795868214e-30
"122" 122 1.47392208185792e-26 7.30025795868214e-30
"123" 123 1.47392208185792e-26 7.30025795868214e-30
"124" 124 1.47392208185792e-26 7.30025795868214e-30
"125" 125 1.47392208185792e-26 7.30025795868214e-30
"126" 126 1.47392208185792e-26 7.30025795868214e-30
"127" 127 1.47392208185792e-26 7.30025795868214e-30
"128" 128 1.47392208185792e-26 7.30025795868214e-30
"129" 129 1.47392208185792e-26 7.30025795868214e-30
"130" 130 1.47392208185792e-26 7.30025795868214e-30
"131" 131 1.47392208185792e-26 7.30025795868214e-30
"132" 132 1.47392208185792e-26 7.30025795868214e-30
"133" 133 1.47392208185792e-26 7.30025795868214e-30
"134" 134 1.47392208185792e-26 7.30025795868214e-30
"135" 135 1.47392208185792e-26 7.30025795868214e-30
"136" 136 1.47392208185792e-26 7.30025795868214e-30
"137" 137 1.47392208185792e-26 7.30025795868214e-30
"138" 138 1.47392208185792e-26 7.30025795868214e-30
"139" 139 1.47392208185792e-26 7.30025795868214e-30
"140" 140 1.47392208185792e-26 7.30025795868214e-30
"141" 141 1.47392208185792e-26 7.30025795868214e-30
"142" 142 1.47392208185792e-26 7.30025795868214e-30
"143" 143 1.47392208185792e-26 7.30025795868214e-30
"144" 144 1.47392208185792e-26 7.30025795868214e-30
"145" 145 1.47392208185792e-26 7.30025795868214e-30
"146" 146 1.47392208185792e-26 7.30025795868214e-30
"147" 147 1.47392208185792e-26 7.30025795868214e-30
"148" 148 1.47392208185792e-26 7.30025795868214e-30
"149" 149 1.47392208185792e-26 7.30025795868214e-30
"150" 150 1.47392208185792e-26 7.30025795868214e-30
"151" 151 1.47392208185792e-26 7.30025795868214e-30
"152" 152 1.47392208185792e-26 7.30025795868214e-30
"153" 153 1.47392208185792e-26 7.30025795868214e-30
"154" 154 1.47392208185792e-26 7.30025795868214e-30
"155" 155 1.47392208185792e-26 7.30025795868214e-30
"156" 156 1.47392208185792e-26 7.30025795868214e-30
"157" 157 1.47392208185792e-26 7.30025795868214e-30
"158" 158 1.47392208185792e-26 7.30025795868214e-30
"159" 159 1.47392208185792e-26 7.30025795868214e-30
"160" 160 1.47392208185792e-26 7.30025795868214e-30
"161" 161 1.47392208185792e-26 7.30025795868214e-30
"162" 162 1.47392208185792e-26 7.30025795868214e-30
"163" 163 1.47392208185792e-26 7.30025795868214e-30
"164" 164 1.47392208185792e-26 7.30025795868214e-30
"165" 165 1.47392208185792e-26 7.30025795868214e-30
"166" 166 1.47392208185792e-26 7.30025795868214e-30
"167" 167 1.47392208185792e-26 7.30025795868214e-30
"168" 168 1.47392208185792e-26 7.30025795868214e-30
"169" 169 1.47392208185792e-26 7.30025795868214e-30
"170" 170 1.47392208185792e-26 7.30025795868214e-30
"171" 171 1.47392208185792e-26 7.30025795868214e-30
"172" 172 1.47392208185792e-26 7.30025795868214e-30
"173" 173 1.47392208185792e-26 7.30025795868214e-30
"174" 174 1.47392208185792e-26 7.30025795868214e-30
"175" 175 1.47392208185792e-26 7.30025795868214e-30
"176" 176 1.47392208185792e-26 7.30025795868214e-30
"177" 177 1.47392208185792e-26 7.30025795868214e-30
"178" 178 1.47392208185792e-26 7.30025795868214e-30
"179" 179 1.47392208185792e-26 7.30025795868214e-30
"180" 180 1.47392208185792e-26 7.30025795868214e-30
"181" 181 1.47392208185792e-26 7.30025795868214e-30
"182" 182 1.47392208185792e-26 7.30025795868214e-30
"183" 183 1.47392208185792e-26 7.30025795868214e-30
"184" 184 1.47392208185792e-26 7.30025795868214e-30
"185" 185 1.47392208185792e-26 7.30025795868214e-30
"186" 186 1.47392208185792e-26 7.30025795868214e-30
"187" 187 1.47392208185792e-26 7.30025795868214e-30
"188" 188 1.47392208185792e-26 7.30025795868214e-30
"189" 189 1.47392208185792e-26 7.30025795868214e-30
"190" 190 1.47392208185792e-26 7.30025795868214e-30
"191" 191 1.47392208185792e-26 7.30025795868214e-30
"192" 192 1.47392208185792e-26 7.30025795868214e-30
"193" 193 1.47392208185792e-26 7.30025795868214e-30
"194" 194 1.47392208185792e-26 7.30025795868214e-30
"195" 195 1.47392208185792e-26 7.30025795868214e-30
"196" 196 1.47392208185792e-26 7.30025795868214e-30
"197" 197 1.47392208185792e-26 7.30025795868214e-30
"198" 198 1.47392208185792e-26 7.30025795868214e-30
"199" 199 1.47392208185792e-26 7.30025795868214e-30
"200" 200 1.47392208185792e-26 7.30025795868214e-30
"201" 201 1.47392208185792e-26 7.30025795868214e-30
"202" 202 1.47392208185792e-26 7.30025795868214e-30
"203" 203 1.47392208185792e-26 7.30025795868214e-30
"204" 204 1.47392208185792e-26 7.30025795868214e-30
"205" 205 1.47392208185792e-26 7.30025795868214e-30
"206" 206 1.47392208185792e-26 7.30025795868214e-30
"207" 207 1.47392208185792e-26 7.30025795868214e-30
"208" 208 1.47392208185792e-26 7.30025795868214e-30
"209" 209 1.47392208185792e-26 7.30025795868214e-30
"210" 210 1.47392208185792e-26 7.30025795868214e-30
"211" 211 1.47392208185792e-26 7.30025795868214e-30
"212" 212 1.47392208185792e-26 7.30025795868214e-30
"213" 213 1.47392208185792e-26 7.30025795868214e-30
"214" 214 1.47392208185792e-26 7.30025795868214e-30
"215" 215 1.47392208185792e-26 7.30025795868214e-30
"216" 216 1.47392208185792e-26 7.30025795868214e-30
"217" 217 1.47392208185792e-26 7.30025795868214e-30
"218" 218 1.47392208185792e-26 7.30025795868214e-30
"219" 219 1.47392208185792e-26 7.30025795868214e-30
"220" 220 1.47392208185792e-26 7.30025795868214e-30
"221" 221 1.47392208185792e-26 7.30025795868214e-30
"222" 222 1.47392208185792e-26 7.30025795868214e-30
"223" 223 1.47392208185792e-26 7.30025795868214e-30
"224" 224 1.47392208185792e-26 7.30025795868214e-30
"225" 225 1.47392208185792e-26 7.30025795868214e-30
"226" 226 1.47392208185792e-26 7.30025795868214e-30
"227" 227 1.47392208185792e-26 7.30025795868214e-30
"228" 228 1.47392208185792e-26 7.30025795868214e-30
"229" 229 1.47392208185792e-26 7.30025795868214e-30
"230" 230 1.47392208185792e-26 7.30025795868214e-30
"231" 231 1.47392208185792e-26 7.30025795868214e-30
"232" 232 1.47392208185792e-26 7.30025795868214e-30
"233" 233 1.47392208185792e-26 7.30025795868214e-30
"234" 234 1.47392208185792e-26 7.30025795868214e-30
"235" 235 1.47392208185792e-26 7.30025795868214e-30
"236" 236 1.47392208185792e-26 7.30025795868214e-30
"237" 237 1.47392208185792e-26 7.30025795868214e-30
"238" 238 1.47392208185792e-26 7.30025795868214e-30
"239" 239 1.47392208185792e-26 7.30025795868214e-30
"240" 240 1.47392208185792e-26 7.30025795868214e-30
"241" 241 1.47392208185792e-26 7.30025795868214e-30
"242" 242 1.47392208185792e-26 7.30025795868214e-30
"243" 243 1.47392208185792e-26 7.30025795868214e-30
"244" 244 1.47392208185792e-26 7.30025795868214e-30
"245" 245 1.47392208185792e-26 7.30025795868214e-30
"246" 246 1.47392208185792e-26 7.30025795868214e-30
"247" 247 1.47392208185792e-26 7.30025795868214e-30
"248" 248 1.47392208185792e-26 7.30025795868214e-30
"249" 249 1.47392208185792e-26 7.30025795868214e-30
"250" 250 1.47392208185792e-26 7.30025795868214e-30
"251" 251 1.47392208185792e-26 7.30025795868214e-30
"252" 252 1.47392208185792e-26 7.30025795868214e-30
"253" 253 1.47392208185792e-26 7.30025795868214e-30
"254" 254 1.47392208185792e-26 7.30025795868214e-30
"255" 255 1.47392208185792e-26 7.30025795868214e-30
"256" 256 1.47392208185792e-26 7.30025795868214e-30
"257" 257 1.47392208185792e-26 7.30025795868214e-30
"258" 258 1.47392208185792e-26 7.30025795868214e-30
"259" 259 1.47392208185792e-26 7.30025795868214e-30
"260" 260 1.47392208185792e-26 7.30025795868214e-30
"261" 261 1.47392208185792e-26 7.30025795868214e-30
"262" 262 1.47392208185792e-26 7.30025795868214e-30
"263" 263 1.47392208185792e-26 7.30025795868214e-30
"264" 264 1.47392208185792e-26 7.30025795868214e-30
"265" 265 1.47392208185792e-26 7.30025795868214e-30
"266" 266 1.47392208185792e-26 7.30025795868214e-30
"267" 267 1.47392208185792e-26 7.30025795868214e-30
"268" 268 1.47392208185792e-26 7.30025795868214e-30
"269" 269 1.47392208185792e-26 7.30025795868214e-30
"270" 270 1.47392208185792e-26 7.30025795868214e-30
"271" 271 1.47392208185792e-26 7.30025795868214e-30
"272" 272 1.47392208185792e-26 7.30025795868214e-30
"273" 273 1.47392208185792e-26 7.30025795868214e-30
"274" 274 1.47392208185792e-26 7.30025795868214e-30
"275" 275 1.47392208185792e-26 7.30025795868214e-30
"276" 276 1.47392208185792e-26 7.30025795868214e-30
"277" 277 1.47392208185792e-26 7.30025795868214e-30
"278" 278 1.47392208185792e-26 7.30025795868214e-30
"279" 279 1.47392208185792e-26 7.30025795868214e-30
"280" 280 1.47392208185792e-26 7.30025795868214e-30
