Population,Sample,LPu15,LPu23,LPu24,LPu25_12,LPu28,MS4,LPu03,LPu09,LPh1,LPh2,LPh3,LPh4,LPh5,LPh6,LPh7,x,y
1,CF.01a,183,312,239,230,282,242,187,488,353,157,108,191,143,121,170,0,0
1,CF.02a,163,295,229,241,317,238,187,209,262,157,110,193,143,121,170,29.66020353,-14.46624784
1,CF.03a,193,312,239,244,276,242,189,245,258,157,106,199,143,121,173,33.88638615,-5.403169974
1,CF.04a,153,297,229,238,319,238,187,209,256,157,106,185,143,121,160,67.69379007,3.655496605
1,CF.05a,153,297,229,238,319,238,187,209,231,190,106,216,194,137,173,67.69379007,4.155496605
1,CF.06a,183,312,239,282,274,242,189,398,312,157,106,197,143,121,173,68.19379007,4.155496605
1,CF.07a,167,312,239,222,274,184,187,245,353,157,112,197,146,121,170,70.26434243,11.88290322
1,CF.08a,191,312,239,236,274,184,189,596,270,157,106,199,143,121,176,70.26434243,23.88290322
1,CF.09a,167,312,239,222,274,242,189,677,242,157,112,193,143,121,170,77.99174904,21.81235085
1,CF.10a,193,312,239,228,274,242,187,389,312,157,106,195,143,121,170,94.41248808,26.21227462
1,CF.11a,197,312,241,226,274,238,189,326,293,167,108,241,186,140,140,116.6287821,32.16511266
1,CF.12a,193,312,239,236,276,242,187,200,319,170,112,223,210,127,207,139.8110019,38.37676974
1,CF.13a,183,312,239,224,274,242,189,254,344,157,106,197,143,121,173,127.8110019,59.16137943
1,CF.15a,137,312,239,236,274,242,187,389,272,158,106,187,143,121,170,170.0272959,65.11421747
1,CF.16a,193,312,241,228,276,242,187,569,355,157,110,191,143,121,170,187.234589,89.6887788
1,CF.17a,193,312,239,230,274,242,189,254,321,157,108,191,143,121,170,186.2497813,89.51513062
1,CF.18a,193,312,239,222,274,242,189,362,297,157,112,193,143,121,160,191.9066355,95.17198487
1,CF.19a,153,297,229,241,311,238,187,182,248,157,106,197,143,121,173,226.5476517,115.1719849
1,CF.20a,193,312,241,286,276,242,189,245,400,157,110,197,143,121,170,215.0761229,131.5550258
1,CF.21a,167,312,241,224,274,242,189,560,353,158,106,193,143,121,170,230.0761229,157.5357879
1,CF.23a,193,312,239,248,276,242,189,371,260,157,106,199,143,121,173,230.7832297,166.8286811
1,CF.24a,163,297,229,238,319,238,187,209,325,157,106,195,143,121,170,234.3187636,163.2931472
1,CF.25a,187,312,239,220,274,242,187,245,327,162,114,220,208,130,229,235.0258704,164.000254
1,CF.26a,193,312,241,230,274,242,189,245,327,157,106,195,143,121,170,239.9756179,168.9500014
1,CF.27a,191,312,239,232,274,242,189,335,291,158,112,212,194,130,176,231.8188478,172.7535658
1,CF.28a,153,297,241,214,319,242,189,209,304,172,114,202,247,167,191,227.5926652,163.6904879
1,CF.29a,193,312,239,224,276,242,189,434,369,157,108,199,143,121,179,220.3422029,167.071434
2,CHA01,185,312,239,232,276,184,187,209,223,157,104,202,161,121,191,0,0
2,CHA03,163,314,239,272,270,184,187,425,223,157,102,197,157,121,198,-8.360444431,-6.427876097
2,CHA04,159,312,239,224,274,184,187,182,221,158,104,199,155,121,201,-4.01923999,-31.04806992
2,CHA05,163,312,239,228,270,184,187,209,219,158,104,199,167,121,198,-2.09087716,-33.34620325
2,CHA06,159,312,239,224,274,184,187,182,221,158,104,199,155,121,201,-2.09087716,-41.34620325
2,CHA07,163,312,239,228,270,184,187,209,219,158,104,199,167,121,198,-17.09087716,-41.34620325
2,CHA08,163,312,239,228,270,184,187,209,219,158,104,199,167,121,198,-15.16251433,-39.04806992
2,CHA09,163,312,239,228,270,184,187,209,219,158,104,199,167,121,198,-13.87693911,-37.51598104
2,CHA10,157,312,239,282,262,184,187,209,221,157,104,202,171,121,191,-113.8769391,-37.51598104
2,CHA11,148,312,239,290,276,243,187,443,225,157,102,197,155,121,198,-117.7071613,-40.72991908
2,CHA12,185,312,239,268,276,184,187,209,223,157,102,202,146,121,185,-119.6767768,-40.38262273
2,CHA13,185,312,239,268,276,184,187,209,223,157,102,202,146,121,185,-119.5057668,-39.91277642
2,CHA14,185,312,239,268,276,184,187,209,221,157,102,201,146,121,185,-120.721304,-46.80643069
2,CHA15,165,312,239,224,270,238,187,209,219,157,102,197,155,127,198,-145.721304,-3.505160501
2,CHA17,163,312,239,226,276,238,187,200,219,157,102,199,155,121,198,-151.3316445,-60.13160569
2,CHA19,163,312,239,232,270,184,187,218,223,157,102,202,159,121,150,-169.1858043,-66.62998841
2,CHA21,163,312,239,248,270,184,187,209,221,158,102,197,157,121,195,-264.584101,-137.7491522
2,CHA22,165,312,239,264,276,184,187,209,219,157,102,199,155,121,198,-461.5456517,-172.4787878
