Sample,Host_species,LPh1,LPh2,LPh3,LPh4,LPh5,LPh6,LPh7
TW3_6_11,Lobaria crassior,207,192,402,183,140,165,134
TW3_9_27,Lobaria crassior,208,138,100,183,150,158,155
TW3_13_1,Lobaria crassior,221,169,104,183,147,161,153
TW3_13_11,Lobaria crassior,221,169,104,183,147,161,153
TW3_13_12,Lobaria crassior,221,169,104,183,147,161,153
TW3_15_12,Lobaria crassior,262,152,402,183,143,165,134
TW3_15_13,Lobaria crassior,231,152,104,183,143,161,133
TW3_15_15,Lobaria crassior,279,167,402,172,170,170,153
TW3_15_18,Lobaria crassior,254,173,402,176,160,167,151
TW3_15_7,Lobaria crassior,262,150,402,183,143,168,134
TW3_21_11,Lobaria crassior,239,175,100,183,163,165,155
TW3_21_13,Lobaria crassior,235,173,100,183,163,165,155
TW3_21_18,Lobaria crassior,268,150,402,183,143,167,134
TW3_21_21,Lobaria crassior,240,175,100,183,163,165,155
TW3_23_11,Lobaria crassior,219,141,100,183,154,168,155
TW3_23_12,Lobaria crassior,235,173,100,183,163,165,155
TW3_23_13,Lobaria crassior,227,194,100,189,150,161,151
TW3_23_5,Lobaria crassior,219,141,100,183,154,168,155
TW3_23_6,Lobaria crassior,287,159,143,195,170,165,133
TW3_24a,Lobaria crassior,260,178,100,183,160,165,157
TW3_24b,Lobaria crassior,247,155,100,183,143,161,151
TW3_24c,Lobaria crassior,208,138,100,183,154,158,155
TW3_24d,Lobaria crassior,250,173,102,183,176,162,155
TW3_24_1,Lobaria crassior,245,152,402,183,143,165,134
TW3_24_10,Lobaria crassior,250,173,100,183,176,162,155
TW3_24_14,Lobaria crassior,250,173,100,183,176,162,155
TW3_24_2,Lobaria crassior,208,138,100,183,154,158,155
TW3_24_4,Lobaria crassior,245,152,402,183,143,165,134
TW3_24_5,Lobaria crassior,270,175,100,183,179,167,155
TW3_24_9,Lobaria crassior,250,173,100,183,176,162,155
TW3_25,Lobaria crassior,221,155,402,183,167,165,153
TW3_25a,Lobaria crassior,221,155,402,183,167,165,153
TW3_25b,Lobaria crassior,237,165,102,183,130,165,151
TW3_25_15,Lobaria crassior,252,165,100,183,130,165,151
TW3_25_16,Lobaria crassior,221,155,402,183,167,165,153
TW3_26_1,Lobaria crassior,264,167,100,183,167,165,155
TW3_26_10,Lobaria crassior,264,167,100,183,167,165,155
TW3_26_4,Lobaria crassior,223,157,402,183,170,165,153
TW3_27_10,Lobaria crassior,239,155,100,183,143,161,151
TW3_27_4,Lobaria crassior,268,175,402,174,167,162,151
TW3_27_6,Lobaria crassior,262,173,402,183,143,165,151
TW3_9_21,Lobaria isidiophora,217,169,100,183,163,167,133
TW3_9_26,Lobaria isidiophora,252,165,100,183,130,165,151
TW3_9_29,Lobaria isidiophora,244,175,402,183,143,170,151
TW3_9_30,Lobaria isidiophora,252,165,100,183,130,165,151
TW3_9_4,Lobaria isidiophora,219,173,100,183,160,161,133
TW3_9_6,Lobaria isidiophora,252,165,102,183,130,165,151
TW3_13_5,Lobaria isidiophora,219,152,102,174,182,142,151
TW3_13_8,Lobaria isidiophora,250,165,100,183,130,165,151
TW3_15_1,Lobaria isidiophora,469,148,402,169,136,148,151
TW3_15_10,Lobaria isidiophora,217,159,100,183,160,167,133
TW3_15_16,Lobaria isidiophora,244,159,402,179,160,161,151
TW3_15_6,Lobaria isidiophora,247,148,104,183,143,172,151
TW3_21a,Lobaria isidiophora,232,161,402,183,136,167,151
TW3_21b,Lobaria isidiophora,256,186,402,183,160,170,151
TW3_21c,Lobaria isidiophora,302,152,402,185,133,155,151
TW3_21d,Lobaria isidiophora,252,165,100,183,130,165,151
TW3_21e,Lobaria isidiophora,245,163,104,174,140,161,133
TW3_21f,Lobaria isidiophora,245,163,104,174,140,161,133
TW3_21_19,Lobaria isidiophora,252,165,100,183,130,165,151
TW3_23_14,Lobaria isidiophora,252,165,100,183,130,165,151
TW3_23_2,Lobaria isidiophora,245,148,104,183,130,165,151
TW3_24_16,Lobaria isidiophora,252,165,100,183,130,165,151
TW3_24_3,Lobaria isidiophora,252,165,100,183,130,165,151
TW3_25_14,Lobaria isidiophora,252,165,100,183,130,165,151
TW3_25_4,Lobaria isidiophora,245,163,104,174,140,161,133
TW3_25_8,Lobaria isidiophora,217,159,100,183,160,167,133
TW3_26_11,Lobaria isidiophora,250,171,100,174,173,165,151
TW3_26_16,Lobaria isidiophora,264,178,402,174,179,167,151
TW3_26_17,Lobaria isidiophora,247,148,104,183,143,172,151
TW3_26_5,Lobaria isidiophora,247,148,104,183,143,161,151
TW3_26_6,Lobaria isidiophora,208,138,100,183,154,158,155
TW3_26_9,Lobaria isidiophora,225,171,104,183,163,162,151
TW3_27_2,Lobaria isidiophora,217,159,100,183,160,167,133
TW3_27_5,Lobaria isidiophora,237,152,100,183,130,165,151
TW3_6_12,Lobaria japonica,252,165,102,183,130,165,151
TW3_6_17,Lobaria japonica,229,155,106,183,143,161,133
TW3_6_6,Lobaria japonica,252,150,400,182,140,158,155
TW3_6_8,Lobaria japonica,252,165,102,183,130,165,151
TW3_6_9,Lobaria japonica,252,150,400,182,140,158,155
TW3_9_12,Lobaria japonica,277,159,143,195,170,165,133
TW3_9_14,Lobaria japonica,217,169,100,183,163,167,133
TW3_9_19,Lobaria japonica,277,159,143,195,170,165,133
TW3_9_2,Lobaria japonica,252,165,102,183,130,165,151
TW3_9_34,Lobaria japonica,277,159,143,195,170,165,133
TW3_9_35,Lobaria japonica,277,159,143,195,170,165,133
