Country,Population,Nearby_locality,Collector,Latitude,Longitude,tot_samples_analysed,Unique_fungal_algal_MLGs
Albania,ALB,Llogarase,"14,43,46",40.21,19.58,14,12
Austria,A2,Vorderer Gosausee,37,47.53,13.52,38,29
Belgium,BE,Etalle,62,49.68,5.60,20,10
Bulgaria,BuD,Mount Rhodopes,64,41.77,24.33,29,20
Bulgaria,BuP,Mount Pirin,64,41.63,23.52,30,27
Croatia,KB1,Viskovac,"46,47,48,49",43.29,17.08,8,6
Croatia,KB2,Sedmina,"46,47,48,49",43.34,17.05,28,22
Croatia,KV,Krasno Polje,"46,48",44.84,14.99,30,28
Czech Republic,CR,Modrava,"20,28,31",49.02,13.42,14,12
Estonia,EE3,Tartu,"13,44,46",58.25,27.32,8,8
Finland,FM,Lahti,"46,19",61.17,25.05,3,3
France,AU1,Forêt de Ste Colombe,46,42.87,2.17,14,11
France,AU2,Forêt de Trabanet,46,42.87,2.15,44,28
France,FA,Argelès-sur-Mer,46,42.48,3.13,10,7
France,FB2,Hanvec,46,48.37,-3.75,8,7
France,FBa,Plan-d'Aups-Ste-Baume,"62,63",43.33,5.75,47,23
France,FBu,Bugeat,62,45.60,1.93,29,5
France,FBuo,Buoux,"62,63",43.83,5.38,20,5
France,FEs,Escragnolles,"62,63",43.72,6.79,55,5
France,FK1,Gavignano,"39,40,41,42",42.18,9.13,30,29
France,FL,Lacaune,62,44.51,-0.82,30,10
France,FLA,Lacaune,62,43.72,2.70,10,3
France,FP,Puycelci,62,44.00,1.72,24,8
France,FS,Sorède,46,42.47,2.98,12,11
France,FV,Gérardmer,"8,46",46.40,6.05,35,20
France,FV1,Gérardmer,"46,58,59",48.02,6.98,53,40
France,FMa1,Les Mayons,"62,63",43.32,6.36,19,9
France,FMa2,Les Mayons,"62,63",43.33,6.37,43,11
Germany,DM,Forstenrieder Park,2,48.05,11.59,15,6
Germany,DS1,Schönau,"16,46",47.81,7.81,73,25
Germany,DS2,Schönau,"16,46",47.81,7.81,89,27
Germany,DS3,Blössling,"16,46",47.81,7.81,27,15
Great Britain,GB1,Lochailort,"46,47",56.89,-5.73,22,15
Great Britain,GB2,Island of Skye,"46,47",57.15,-5.94,9,9
Great Britain,GB3,Island of Skye,"46,47",57.15,-5.94,28,18
Great Britain,GB9,Kinlochlewe,"46,47",57.67,-5.50,27,16
Great Britain,GB10,Milton,"46,47",57.28,-4.49,13,8
Great Britain,GB17,Inveraray,"46,47",56.25,-5.06,23,14
Great Britain,GBD,North Devon,3,50.87,-4.33,10,8
Greece,GC,Aghios Dikeos,"33, 55",35.16,24.92,13,7
Greece,GF1,Varetada Aitoloakarnania,"5,15,16",38.85,21.31,25,22
Greece,GF2,Aghios Nikolaos,"5,15,16",38.92,21.78,28,27
Greece,GM,Mola,52,38.17,23.73,17,16
Greece,GP,Agia Triada,52,38.15,23.72,13,11
Greece,GR1,Mts. Varko Despoti,"6,46",38.56,22.55,37,33
Greece,GR2,Polidrosso,"6,46",38.59,22.55,13,13
Greece,GR3,Polidrosso,"6,46",38.58,22.57,44,37
Greece,GR4,Kiriaki,"6,46",38.34,22.81,7,6
Greece,GR6,Parnon Mountain,46,37.23,22.61,12,7
Greece,GR7,Pigadia,46,37.00,22.26,39,17
Greece,GR8,Pigadia,46,37.00,22.26,24,13
Greece,GRR,Profitis Illias,46,36.28,27.93,37,13
Ireland,IRK,Doo Lough,46,52.02,-9.53,36,33
Italy,IA,Vico del Gargano,57,41.82,15.98,24,24
Italy,IC1,Gambarie,"4,26",38.17,15.83,20,20
Italy,IC2,Fuscaldo,"4,26",39.44,16.09,30,30
Italy,IC3,Rotondo,"4,26",39.95,16.03,29,28
Italy,IL2,Rezzoaglio,"9,46",44.55,9.39,24,21
Italy,IR1,Monte Cimino,62,42.40,12.20,138,87
Italy,IS,Crocefisso,51,37.87,13.38,24,7
Italy,IS1,Parco Regionale dei Nebrodi,46,37.94,14.61,49,13
Italy,ISA1,Gennargentu,27,40.06,9.01,58,36
